ID,Title,Author,Year,Format,File
1,Yang Fana Adalah Waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
2,Bulan,Tere Liye,2015,PDF,ebook/Tere Liye - Bulan.pdf
3,Perahu Kertas,Dee,2009,PDF,ebook/Perahu Kertas.pdf
4,Menjadi Guru Sekolah Minggu Yang Efektif,Ayub Yahya,2011,PDF,ebook/MENJADI GURU SEKOLAH MINGGU.pdf
5,Marmut Merah Jambu,Raditya Dika,2010,PDF,ebook/marmut-merah-jambu.pdf
6,Laut Bercerita,Leila S. Chudori,2017,PDF,ebook/Laut Bercerita.pdf
7,Koala Kumal,Raditya Dika,2015,PDF,ebook/koala_kumal_raditya_dika.pdf
8,Pada Senja Yang Membawamu Pergi,Boy Candra,2016,PDF,ebook/Boy Candra - Pada Senja yg membawamu pergi.pdf
9,Bahagia Kenapa Tidak,Reza A.A Wattimena,2015,PDF,ebook/Bahagia kenapa tidak.pdf
10,Ayat-ayat Api,Sapardi Djoko Damono,2017,PDF,ebook/Ayat-ayat api.pdf
